year,month,All,Property Damage,Injury,Serious Injury,Fatality
2011,Jan,881,623,237,20,1
2011,Feb,707,500,197,9,1
2011,Mar,941,681,247,13,0
2011,Apr,924,653,251,18,2
2011,May,924,651,261,11,1
2011,Jun,1009,720,281,8,0
2011,Jul,896,629,257,9,1
2011,Aug,699,455,234,10,0
2011,Sep,785,564,206,13,2
2011,Oct,832,586,234,11,1
2011,Nov,925,652,262,10,1
2011,Dec,922,681,231,10,0
2012,Jan,796,582,198,15,1
2012,Feb,712,498,200,13,1
2012,Mar,855,591,252,12,0
2012,Apr,809,532,266,9,2
2012,May,897,573,308,14,2
2012,Jun,873,594,271,6,2
2012,Jul,832,517,291,23,1
2012,Aug,892,545,321,25,1
2012,Sep,846,562,268,14,2
2012,Oct,1055,695,336,20,4
2012,Nov,914,607,293,13,1
2012,Dec,931,636,285,8,2
2013,Jan,853,598,244,11,0
2013,Feb,741,504,226,10,1
2013,Mar,804,567,218,17,2
2013,Apr,844,567,270,7,0
2013,May,698,447,239,9,3
2013,Jun,905,600,285,19,1
2013,Jul,839,534,282,21,2
2013,Aug,877,589,270,16,2
2013,Sep,874,573,288,9,4
2013,Oct,877,564,293,16,4
2013,Nov,913,612,287,14,0
2013,Dec,867,603,252,8,4
2014,Jan,839,574,253,11,1
2014,Feb,804,571,219,12,2
2014,Mar,913,629,275,8,1
2014,Apr,942,667,265,9,1
2014,May,1044,727,299,16,2
2014,Jun,970,666,287,17,0
2014,Jul,1039,728,290,19,2
2014,Aug,1019,710,291,15,3
2014,Sep,1003,704,286,13,0
2014,Oct,1142,753,365,23,1
2014,Nov,1001,696,288,15,2
2014,Dec,1049,741,294,12,2
2015,Jan,981,653,309,18,1
2015,Feb,913,639,269,5,0
2015,Mar,1009,698,293,17,1
2015,Apr,1082,783,289,9,1
2015,May,1069,747,313,8,1
2015,Jun,1128,814,303,10,1
2015,Jul,1142,793,332,17,0
2015,Aug,1119,790,308,20,1
2015,Sep,1087,759,315,6,7
2015,Oct,1160,807,341,11,1
2015,Nov,1133,816,314,3,0
2015,Dec,1085,772,296,14,3
2016,Jan,958,658,282,18,0
2016,Feb,843,583,252,8,0
2016,Mar,968,650,303,12,3
2016,Apr,873,541,316,14,2
2016,May,887,568,307,10,2
2016,Jun,903,613,275,15,0
2016,Jul,892,556,326,9,1
2016,Aug,943,593,328,21,1
2016,Sep,904,567,318,15,4
2016,Oct,1080,720,344,15,1
2016,Nov,852,557,274,16,5
2016,Dec,964,675,280,7,2
2017,Jan,829,588,229,8,4
2017,Feb,807,547,253,5,2
2017,Mar,882,594,270,16,2
2017,Apr,859,575,269,14,1
2017,May,910,583,314,13,0
2017,Jun,896,628,253,15,0
2017,Jul,918,572,316,28,2
2017,Aug,846,559,276,9,2
2017,Sep,886,592,283,11,0
2017,Oct,926,598,313,14,1
2017,Nov,955,633,302,18,2
2017,Dec,916,612,285,15,4
2018,Jan,922,615,297,9,1
2018,Feb,751,512,225,12,2
2018,Mar,824,556,253,15,0
2018,Apr,783,518,257,7,1
2018,May,854,538,295,20,1
2018,Jun,842,547,279,14,2
2018,Jul,870,525,317,28,0
2018,Aug,817,518,279,18,2
2018,Sep,802,525,259,18,0
2018,Oct,914,602,296,15,1
2018,Nov,835,566,258,11,0
2018,Dec,841,563,268,8,2
2011-2018,2011,10445,7395,2898,142,10
2011-2018,2012,10412,6932,3289,172,19
2011-2018,2013,10092,6758,3154,157,23
2011-2018,2014,11765,8166,3412,170,17
2011-2018,2015,12908,9071,3682,138,17
2011-2018,2016,11067,7281,3605,160,21
2011-2018,2017,10630,7081,3363,166,20
2011-2018,2018,10055,6585,3283,175,12